Species,Family,Leaf_type,Disease_type,Necrotroph,Biotroph,Begin_weight,End_weight,Begin_time,End_time,Decomposition_time
Gentiana straminea,Scrophulariaceae,Symptomatic,1,1,0,3.0197,0.7562,2023/2/4,2023/7/28,174
Gentiana straminea,Scrophulariaceae,Symptomatic,1,1,0,3.0062,0.7701,2023/2/4,2023/7/28,174
Gentiana straminea,Scrophulariaceae,Symptomatic,1,1,0,3.0808,0.8361,2023/2/4,2023/7/28,174
Gentiana straminea,Scrophulariaceae,Symptomatic,1,1,0,3.0719,0.5513,2023/2/4,2023/7/28,174
Gentiana straminea,Scrophulariaceae,Asymptomatic,0,0,0,3.0862,0.6782,2023/2/4,2023/7/28,174
Gentiana straminea,Scrophulariaceae,Asymptomatic,0,0,0,3.0805,0.7348,2023/2/4,2023/7/28,174
Gentiana straminea,Scrophulariaceae,Asymptomatic,0,0,0,3.0861,0.7528,2023/2/4,2023/7/28,174
Gentiana straminea,Scrophulariaceae,Asymptomatic,0,0,0,3.0705,0.7738,2023/2/4,2023/7/28,174
Gentiana straminea,Scrophulariaceae,Asymptomatic,2,2,0,3.0366,0.8394,2023/2/4,2023/7/28,174
Gentiana straminea,Scrophulariaceae,Asymptomatic,2,2,0,3.0544,0.7341,2023/2/4,2023/7/28,174
Gentiana straminea,Scrophulariaceae,Asymptomatic,2,2,0,3.0399,0.7014,2023/2/4,2023/7/28,174
Gentiana straminea,Scrophulariaceae,Asymptomatic,2,2,0,3.0991,0.7746,2023/2/4,2023/7/28,174
Morina kokonorica,Caprifoliaceae,Symptomatic,1,1,0,3.0205,1.1008,2023/2/4,2023/7/28,174
Morina kokonorica,Caprifoliaceae,Symptomatic,1,1,0,3.0022,1.3659,2023/2/4,2023/7/28,174
Morina kokonorica,Caprifoliaceae,Symptomatic,1,1,0,3.0296,1.6102,2023/2/4,2023/7/28,174
Morina kokonorica,Caprifoliaceae,Symptomatic,1,1,0,3.0686,1.0439,2023/2/4,2023/7/28,174
Morina kokonorica,Caprifoliaceae,Asymptomatic,2,2,0,3.0041,1.232,2023/2/4,2023/7/28,174
Morina kokonorica,Caprifoliaceae,Asymptomatic,2,2,0,3.0458,1.3602,2023/2/4,2023/7/28,174
Morina kokonorica,Caprifoliaceae,Asymptomatic,2,2,0,3.0242,1.2035,2023/2/4,2023/7/28,174
Morina kokonorica,Caprifoliaceae,Asymptomatic,2,2,0,3.0154,1.2889,2023/2/4,2023/7/28,174
Morina kokonorica,Caprifoliaceae,Asymptomatic,0,0,0,3.0621,0.9341,2023/2/4,2023/7/28,174
Morina kokonorica,Caprifoliaceae,Asymptomatic,0,0,0,3.0798,1.237,2023/2/4,2023/7/28,174
Morina kokonorica,Caprifoliaceae,Asymptomatic,0,0,0,3.0659,0.9149,2023/2/4,2023/7/28,174
Morina kokonorica,Caprifoliaceae,Asymptomatic,0,0,0,3.0102,1.3864,2023/2/4,2023/7/28,174
Saussurea pulchella,Asteraceae,Symptomatic,1,1,0,3.0574,1.4758,2023/2/4,2023/7/28,174
Saussurea pulchella,Asteraceae,Symptomatic,1,1,0,3.0937,1.2853,2023/2/4,2023/7/28,174
Saussurea pulchella,Asteraceae,Symptomatic,1,1,0,3.0946,1.1595,2023/2/4,2023/7/28,174
Saussurea pulchella,Asteraceae,Symptomatic,1,1,0,3.0293,1.0249,2023/2/4,2023/7/28,174
Saussurea pulchella,Asteraceae,Asymptomatic,0,0,0,3.0211,0.6796,2023/2/4,2023/7/28,174
Saussurea pulchella,Asteraceae,Asymptomatic,0,0,0,3.0282,0.933,2023/2/4,2023/7/28,174
Saussurea pulchella,Asteraceae,Asymptomatic,0,0,0,3.0574,0.9628,2023/2/4,2023/7/28,174
Saussurea pulchella,Asteraceae,Asymptomatic,0,0,0,3.0061,0.9072,2023/2/4,2023/7/28,174
Saussurea pulchella,Asteraceae,Asymptomatic,2,2,0,3.0699,1.2009,2023/2/4,2023/7/28,174
Saussurea pulchella,Asteraceae,Asymptomatic,2,2,0,3.085,0.6791,2023/2/4,2023/7/28,174
Saussurea pulchella,Asteraceae,Asymptomatic,2,2,0,3.045,1.1105,2023/2/4,2023/7/28,174
Saussurea pulchella,Asteraceae,Asymptomatic,2,2,0,3.0102,1.1145,2023/2/4,2023/7/28,174
Aster alpinus,Asteraceae,Symptomatic,1,1,0,3.0761,0.9917,2023/2/4,2023/7/28,174
Aster alpinus,Asteraceae,Symptomatic,1,1,0,3.0415,0.6826,2023/2/4,2023/7/28,174
Aster alpinus,Asteraceae,Symptomatic,1,1,0,3.0782,0.5804,2023/2/4,2023/7/28,174
Aster alpinus,Asteraceae,Symptomatic,1,1,0,3.0613,1.0202,2023/2/4,2023/7/28,174
Aster alpinus,Asteraceae,Asymptomatic,2,2,0,3.095,1.0512,2023/2/4,2023/7/28,174
Aster alpinus,Asteraceae,Asymptomatic,2,2,0,3.0328,0.5796,2023/2/4,2023/7/28,174
Aster alpinus,Asteraceae,Asymptomatic,2,2,0,3.0524,1.067,2023/2/4,2023/7/28,174
Aster alpinus,Asteraceae,Asymptomatic,2,2,0,3.0262,1.1174,2023/2/4,2023/7/28,174
Aster alpinus,Asteraceae,Asymptomatic,0,0,0,3.0431,0.9053,2023/2/4,2023/7/28,174
Aster alpinus,Asteraceae,Asymptomatic,0,0,0,3.0363,1.2191,2023/2/4,2023/7/28,174
Aster alpinus,Asteraceae,Asymptomatic,0,0,0,3.0191,0.9326,2023/2/4,2023/7/28,174
Aster alpinus,Asteraceae,Asymptomatic,0,0,0,3.0316,1.0669,2023/2/4,2023/7/28,174
